Site;Lon;Lat;Tech;Cell;Frequency;Antenna_Bearing;Antenna_Height
Jyrkkala;22.1996656;60.458594;LTE;L431363;1800;310;25
Jyrkkala;22.1996656;60.458594;LTE;L431361;1800;40;25
Jyrkkala;22.1996656;60.458594;LTE;L431362;1800;170;25
Katariina;22.2798979;60.4123916;LTE;L344065;1800;70;36
Katariina;22.2798979;60.4123916;LTE;L344067;1800;200;36
Katariina;22.2798979;60.4123916;LTE;L344066;1800;310;36
Raunistula;22.264538;60.462646;LTE;L1525509;1800;160;16
Raunistula;22.264538;60.462646;LTE;L1525510;1800;270;16
Raunistula;22.264538;60.462646;LTE;L1525508;1800;70;16
Jakarla;22.3433641;60.5424786;LTE;L236033;1800;0;70
Jakarla;22.3433641;60.5424786;LTE;L236034;1800;120;70
Jakarla;22.3433641;60.5424786;LTE;L236035;1800;240;70
Moikoinen;22.2320854;60.4096798;LTE;L1361413;1800;180;27
Moikoinen;22.2320854;60.4096798;LTE;L1361412;1800;60;27
Moikoinen;22.2320854;60.4096798;LTE;L1361414;1800;300;27
Moisio;22.2966532;60.5282199;LTE;L428034;1800;180;41
Moisio;22.2966532;60.5282199;LTE;L428033;1800;60;41
Moisio;22.2966532;60.5282199;LTE;L428035;1800;300;41
PernoDNA;22.155065;60.4554302;LTE;L1319172;1800;60;23
PernoDNA;22.155065;60.4554302;LTE;L1319174;1800;300;23
PernoDNA;22.155065;60.4554302;LTE;L1319173;1800;190;23
Rehtorinpk3;22.290012;60.4546308;LTE;L1470470;1800;350;18
Rehtorinpk3;22.290012;60.4546308;LTE;L1470468;1800;90;18
Rehtorinpk3;22.290012;60.4546308;LTE;L1470469;1800;230;18
Lemminkaisenk;22.2953695;60.4483112;LTE;L1523715;1800;270;39
Lemminkaisenk;22.2953695;60.4483112;LTE;L1523713;1800;30;39
Lemminkaisenk;22.2953695;60.4483112;LTE;L1523714;1800;150;39
Pansiont45;22.192958;60.4479719;LTE;L1469701;1800;180;38
Pansiont45;22.192958;60.4479719;LTE;L1469702;1800;300;38
Pansiont45;22.192958;60.4479719;LTE;L1469700;1800;60;38
Jalustinkatu;22.2611795;60.4240808;LTE;L425730;1800;220;20
Jalustinkatu;22.2611795;60.4240808;LTE;L425731;1800;310;20
Jalustinkatu;22.2611795;60.4240808;LTE;L425729;1800;120;20
Rantamaki;22.3096096;60.4735649;LTE;L429059;1800;315;15
Rantamaki;22.3096096;60.4735649;LTE;L429058;1800;200;15
Rantamaki;22.3096096;60.4735649;LTE;L429057;1800;80;15
Tilhenkatu;22.3344979;60.4395662;LTE;L1472516;1800;55;20
Tilhenkatu;22.3344979;60.4395662;LTE;L1472518;1800;270;20
Tilhenkatu;22.3344979;60.4395662;LTE;L1472517;1800;160;20
Harakkakallio;22.2721086;60.4355826;LTE;L421378;1800;150;24
Harakkakallio;22.2721086;60.4355826;LTE;L421379;1800;260;24
Harakkakallio;22.2721086;60.4355826;LTE;L421377;1800;50;24
Kanavaniemi;22.2192293;60.4352922;LTE;L485633;1800;60;15
Kanavaniemi;22.2192293;60.4352922;LTE;L485635;1800;300;15
Kanavaniemi;22.2192293;60.4352922;LTE;L485634;1800;150;15
Kauppiask;22.2663552;60.4527122;LTE;L143362;1800;180;10
Kauppiask;22.2663552;60.4527122;LTE;L143361;1800;70;10
Plakkikaup;22.2053913;60.4660474;LTE;L239106;1800;120;30
Plakkikaup;22.2053913;60.4660474;LTE;L239107;1800;240;30
Plakkikaup;22.2053913;60.4660474;LTE;L239105;1800;0;30
KupittaaCM;22.28555;60.4418867;LTE;L237569;1800;270;10
HalinenDNA;22.3309872;60.4707233;LTE;L205826;1800;330;26
HalinenDNA;22.3309872;60.4707233;LTE;L205825;1800;240;26
Linnankatu6;22.2703729;60.4499825;LTE;L427522;1800;150;25
Linnankatu6;22.2703729;60.4499825;LTE;L427523;1800;260;25
Linnankatu6;22.2703729;60.4499825;LTE;L427521;1800;20;25
Kahari;22.2564888;60.4591937;LTE;L426244;1800;300;15
Kahari;22.2564888;60.4591937;LTE;L426243;1800;40;18
YlimaariaUB;22.3060256;60.5488858;LTE;L208897;1800;0;35
YlimaariaUB;22.3060256;60.5488858;LTE;L208899;1800;240;35
YlimaariaUB;22.3060256;60.5488858;LTE;L208898;1800;120;35
Fiskarsinkatu;22.333271;60.4363564;LTE;L385281;1800;90;8
Fiskarsinkatu;22.333271;60.4363564;LTE;L385283;1800;240;8
Fiskarsinkatu;22.333271;60.4363564;LTE;L385282;1800;170;8
Kalevant41;22.3239822;60.4460135;LTE;L1598209;1800;60;25
Kalevant41;22.3239822;60.4460135;LTE;L1598210;1800;180;25
Kalevant41;22.3239822;60.4460135;LTE;L1598211;1800;300;25
PalttaTku;22.2862356;60.4867645;LTE;L238081;1800;70;25
PalttaTku;22.2862356;60.4867645;LTE;L238083;1800;315;25
PalttaTku;22.2862356;60.4867645;LTE;L238082;1800;230;25
Martinmaki;22.2532805;60.4394342;LTE;L1871364;1800;70;18
Martinmaki;22.2532805;60.4394342;LTE;L1871366;1800;310;18
Martinmaki;22.2532805;60.4394342;LTE;L1871365;1800;180;18
Mustionk6;22.3254939;60.4385476;LTE;L249603;1800;200;20
Mustionk6;22.3254939;60.4385476;LTE;L249601;1800;0;20
Mustionk6;22.3254939;60.4385476;LTE;L249602;1800;110;20
Logomo;22.2575217;60.4570623;LTE;L1803524;1800;60;20
Logomo;22.2575217;60.4570623;LTE;L1803526;1800;240;20
Logomo;22.2575217;60.4570623;LTE;L1803525;1800;150;20
Paaluttajant;22.2097343;60.47622;LTE;L428547;1800;310;43
Paaluttajant;22.2097343;60.47622;LTE;L428545;1800;80;43
Paaluttajant;22.2097343;60.47622;LTE;L428546;1800;210;43
AkerTku;22.1277265;60.4608994;LTE;L223746;1800;200;27
AkerTku;22.1277265;60.4608994;LTE;L223745;1800;120;27
AkerTku;22.1277265;60.4608994;LTE;L223747;1800;330;27
Postitalo;22.2620474;60.4493041;LTE;L239874;1800;210;25
Postitalo;22.2620474;60.4493041;LTE;L239873;1800;90;25
Postitalo;22.2620474;60.4493041;LTE;L239875;1800;330;25
Annikanpolku9;22.3586305;60.4470027;LTE;L1729281;1800;80;10
Annikanpolku9;22.3586305;60.4470027;LTE;L1729283;1800;280;10
Annikanpolku9;22.3586305;60.4470027;LTE;L1729282;1800;180;10
Hameentie35;22.3067185;60.4577635;LTE;L1764356;1800;0;30
Hameentie35;22.3067185;60.4577635;LTE;L1764358;1800;240;30
Hameentie35;22.3067185;60.4577635;LTE;L1764357;1800;120;30
Vahaheikkila;22.2549454;60.4310842;LTE;L1362694;1800;240;30
Vahaheikkila;22.2549454;60.4310842;LTE;L1362692;1800;0;30
Vahaheikkila;22.2549454;60.4310842;LTE;L1362693;1800;120;30
Uudenmaank5;22.2784974;60.4493226;LTE;L429826;1800;140;24
Uudenmaank5;22.2784974;60.4493226;LTE;L429825;1800;70;24
Uudenmaank5;22.2784974;60.4493226;LTE;L429827;1800;350;24
KastuUB;22.2746068;60.4715445;LTE;L1361158;1800;240;26
KastuUB;22.2746068;60.4715445;LTE;L1361156;1800;0;26
KastuUB;22.2746068;60.4715445;LTE;L1361157;1800;120;26
Kurjenmaki;22.2810506;60.4392717;LTE;L1523206;1800;330;22
Kurjenmaki;22.2810506;60.4392717;LTE;L1523205;1800;205;22
